crop,market_code,market_name,district,state,min_price,max_price,modal_price,arrival_quantity,date,source,agroelevate_avg_price,district_demand,market_volatility,weekly_trend,monthly_trend
Lentil,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,35.33,44.97,40.15,2020.9,2026-06-28,eNAM,43.89,68.5,0.12,-0.0018,0.0595
Lemongrass,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,32.08,40.82,36.45,3618.0,2026-06-28,eNAM,39.28,96.0,0.2219,0.0497,0.0503
French Beans,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,40.08,51.0,45.54,3398.1,2026-06-28,eNAM,53.43,64.2,0.25,0.0058,0.0054
Linseed,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,49.44,62.92,56.18,2356.5,2026-06-28,eNAM,62.06,69.3,0.1798,0.085,0.044
Baby Corn,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,38.3,48.74,43.52,4177.3,2026-06-28,eNAM,45.98,75.5,0.0693,0.1142,0.0885
Neem Seeds,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,42.01,53.47,47.74,2040.5,2026-06-28,eNAM,53.14,64.4,0.1083,-0.0676,-0.055
Little Millet,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,53.38,67.94,60.66,99.8,2026-06-28,eNAM,70.69,36.8,0.169,0.0407,0.0793
Potato,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,17.56,22.34,19.95,1085.6,2026-06-28,eNAM,21.41,57.1,0.1416,0.0367,-0.1101
Cauliflower,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,31.59,40.21,35.9,2140.1,2026-06-28,eNAM,41.04,84.2,0.1596,0.094,-0.0893
Sann Hemp,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,41.1,52.3,46.7,2637.2,2026-06-28,eNAM,49.46,61.0,0.1527,0.1135,-0.1159
Colocasia,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,35.44,45.1,40.27,1290.6,2026-06-28,eNAM,43.89,91.2,0.1736,0.1177,0.0753
Jowar,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,58.56,74.54,66.55,4871.1,2026-06-28,eNAM,71.92,57.7,0.0508,0.0492,0.0119
Sorghum,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,33.41,42.53,37.97,4193.1,2026-06-28,eNAM,40.79,72.5,0.1922,0.0766,-0.1266
Field Pea,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,34.49,43.89,39.19,2620.8,2026-06-28,eNAM,46.08,57.5,0.1819,0.0698,-0.1133
Turmeric,MKT0001,Andaman APMC 1,AN001,Andaman and Nicobar Islands,67.67,86.13,76.9,4531.1,2026-06-28,eNAM,86.0,53.2,0.1004,0.0561,0.0335
Foxtail Millet,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,33.63,42.81,38.22,4729.3,2026-06-28,data.gov.in,41.91,86.5,0.156,0.0165,0.0702
Little Millet,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,36.84,46.88,41.86,2389.0,2026-06-28,data.gov.in,49.16,38.0,0.0671,-0.0304,-0.1187
Arecanut,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,34.88,44.4,39.64,1582.3,2026-06-28,data.gov.in,41.73,34.3,0.1907,0.1093,0.0957
Broccoli,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,35.89,45.67,40.78,67.2,2026-06-28,data.gov.in,45.28,73.5,0.1203,0.0399,0.1595
Proso Millet,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,38.58,49.1,43.84,1102.6,2026-06-28,data.gov.in,51.27,25.3,0.2047,0.0406,0.0289
Masoor,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,47.89,60.95,54.42,1415.4,2026-06-28,data.gov.in,60.1,68.8,0.0523,0.0128,-0.0353
Groundnut,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,41.72,53.1,47.41,843.2,2026-06-28,data.gov.in,53.69,69.8,0.1082,0.0801,0.1956
Beetroot,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,29.4,37.42,33.41,2630.3,2026-06-28,data.gov.in,39.02,68.3,0.1959,0.1083,0.1587
Lentil,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,38.98,49.62,44.3,3712.0,2026-06-28,data.gov.in,46.53,66.1,0.102,-0.0279,0.0808
Cauliflower,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,31.2,39.72,35.46,1820.2,2026-06-28,data.gov.in,40.62,73.5,0.1045,-0.0216,0.1598
Ginger,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,80.95,103.03,91.99,1254.5,2026-06-28,data.gov.in,98.04,77.6,0.1988,-0.0068,-0.0905
Garlic,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,103.56,131.8,117.68,4644.1,2026-06-28,data.gov.in,137.5,59.7,0.1382,-0.0284,0.1198
Soybean,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,41.22,52.46,46.84,3333.1,2026-06-28,data.gov.in,51.61,72.3,0.0667,0.0568,-0.0249
Mesta,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,40.37,51.37,45.87,496.7,2026-06-28,data.gov.in,50.95,58.3,0.1389,-0.0304,0.007
Arhar,MKT0002,Andaman mandi 2,AN002,Andaman and Nicobar Islands,48.22,61.38,54.8,2026.9,2026-06-28,data.gov.in,63.74,46.3,0.0902,0.0116,0.0664
Beetroot,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,30.41,38.71,34.56,110.9,2026-06-28,AGMARKNET,39.2,81.2,0.1143,-0.0649,-0.0352
Rice,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,21.73,27.65,24.69,4792.7,2026-06-28,AGMARKNET,28.93,55.6,0.2189,0.1066,0.1136
Pearl Millet,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,32.1,40.86,36.48,4635.8,2026-06-28,AGMARKNET,41.59,87.4,0.1535,0.0576,0.0298
Urad,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,29.34,37.34,33.34,3557.0,2026-06-28,AGMARKNET,36.72,64.8,0.0752,0.0522,-0.0137
Coriander,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,58.79,74.83,66.81,4047.9,2026-06-28,AGMARKNET,74.38,98.0,0.2244,0.0966,-0.0492
Stevia,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,42.97,54.69,48.83,4272.0,2026-06-28,AGMARKNET,53.33,53.9,0.2485,0.0564,-0.0394
Tomato,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,31.86,40.54,36.2,1695.6,2026-06-28,AGMARKNET,41.25,67.2,0.1423,0.1112,0.0463
Elephant Foot Yam,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,32.18,40.96,36.57,4465.5,2026-06-28,AGMARKNET,39.23,87.8,0.1573,-0.0442,0.1483
Lettuce,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,34.86,44.36,39.61,4570.9,2026-06-28,AGMARKNET,45.08,50.7,0.1899,-0.0788,-0.1118
Red Chilli,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,57.64,73.36,65.5,3764.4,2026-06-28,AGMARKNET,74.06,46.4,0.1127,0.0059,0.0532
Moong,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,33.85,43.09,38.47,335.3,2026-06-28,AGMARKNET,41.48,46.7,0.172,0.0627,0.0847
Basmati Rice,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,37.65,47.91,42.78,2385.8,2026-06-28,AGMARKNET,45.52,52.6,0.1935,-0.0396,0.0934
Sesame,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,48.14,61.28,54.71,3762.2,2026-06-28,AGMARKNET,57.94,50.2,0.0817,-0.0633,-0.0079
Green Peas,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,55.99,71.27,63.63,4913.1,2026-06-28,AGMARKNET,69.95,61.4,0.064,0.0465,-0.0528
Turmeric,MKT0003,Andaman eNAM hub 3,AN003,Andaman and Nicobar Islands,70.01,89.11,79.56,384.7,2026-06-28,AGMARKNET,88.63,87.5,0.1841,0.0696,0.1385
Ginger,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,60.84,77.44,69.14,1463.8,2026-06-28,eNAM,77.29,51.6,0.1136,-0.0265,-0.0319
Papaya,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,37.3,47.48,42.39,3479.4,2026-06-28,eNAM,44.66,73.4,0.1587,-0.0487,0.1172
