crop_name,region,season,month,demand_index,avg_price,volatility,season_fit
Wheat,North India,kharif,1,71.98,23.53,0.12,0.95
Wheat,North India,kharif,2,73.84,26.22,0.12,0.95
Wheat,North India,kharif,3,69.83,25.09,0.12,0.95
Wheat,North India,kharif,4,78.49,25.54,0.12,0.95
Wheat,North India,kharif,5,67.15,24.11,0.12,0.95
Wheat,North India,kharif,6,65.68,21.63,0.12,0.95
Wheat,North India,kharif,7,67.71,18.95,0.12,0.95
Wheat,North India,kharif,8,56.78,18.75,0.12,0.95
Wheat,North India,kharif,9,59.94,18.91,0.12,0.95
Wheat,North India,kharif,10,60.86,18.17,0.12,0.95
Wheat,North India,kharif,11,73.83,20.18,0.12,0.95
Wheat,North India,kharif,12,68.34,20.87,0.12,0.95
Wheat,North India,rabi,1,66.78,23.74,0.12,0.8
Wheat,North India,rabi,2,64.84,25.19,0.12,0.8
Wheat,North India,rabi,3,68.0,25.03,0.12,0.8
Wheat,North India,rabi,4,67.59,26.52,0.12,0.8
Wheat,North India,rabi,5,69.43,22.75,0.12,0.8
Wheat,North India,rabi,6,72.11,21.03,0.12,0.8
Wheat,North India,rabi,7,67.54,18.91,0.12,0.8
Wheat,North India,rabi,8,58.76,19.28,0.12,0.8
Wheat,North India,rabi,9,68.69,18.82,0.12,0.8
Wheat,North India,rabi,10,64.82,18.93,0.12,0.8
Wheat,North India,rabi,11,59.11,19.82,0.12,0.8
Wheat,North India,rabi,12,65.7,22.84,0.12,0.8
Wheat,North India,zaid,1,71.22,22.15,0.12,0.8
Wheat,North India,zaid,2,72.22,24.51,0.12,0.8
Wheat,North India,zaid,3,67.62,25.86,0.12,0.8
Wheat,North India,zaid,4,75.75,25.69,0.12,0.8
Wheat,North India,zaid,5,65.3,23.39,0.12,0.8
Wheat,North India,zaid,6,69.66,22.77,0.12,0.8
Wheat,North India,zaid,7,64.1,20.21,0.12,0.8
Wheat,North India,zaid,8,59.87,18.32,0.12,0.8
Wheat,North India,zaid,9,69.06,19.61,0.12,0.8
Wheat,North India,zaid,10,65.04,19.83,0.12,0.8
Wheat,North India,zaid,11,68.31,19.88,0.12,0.8
Wheat,North India,zaid,12,69.81,23.22,0.12,0.8
Wheat,South India,kharif,1,69.32,24.98,0.12,0.95
Wheat,South India,kharif,2,57.5,25.59,0.12,0.95
Wheat,South India,kharif,3,71.44,25.03,0.12,0.95
Wheat,South India,kharif,4,71.06,23.08,0.12,0.95
Wheat,South India,kharif,5,68.4,23.95,0.12,0.95
Wheat,South India,kharif,6,75.39,21.59,0.12,0.95
Wheat,South India,kharif,7,62.46,19.98,0.12,0.95
Wheat,South India,kharif,8,69.98,19.37,0.12,0.95
Wheat,South India,kharif,9,62.35,19.05,0.12,0.95
Wheat,South India,kharif,10,65.89,19.81,0.12,0.95
Wheat,South India,kharif,11,62.99,20.11,0.12,0.95
Wheat,South India,kharif,12,66.04,20.84,0.12,0.95
Wheat,South India,rabi,1,70.98,23.87,0.12,0.8
Wheat,South India,rabi,2,70.62,24.65,0.12,0.8
Wheat,South India,rabi,3,63.92,24.92,0.12,0.8
Wheat,South India,rabi,4,68.88,24.14,0.12,0.8
